Trial_Nr,Trial_Id,Exp_Subject_Id,OptionChosen,TargetWord,knowledge,StemType,Frequency,Stem_romanization,Affix_romanization,Word_romanization,Tensification,Nasalization,L_deletion,C_deletion,Lateralization,AffixInitialSegment,UR,JunctureType,Production_R
78,36,607882,option_2,독다,1,C,nonce,tok,ta,tokta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,tokda
32,92,607882,option_1,독나,1,C,nonce,tok,na,tokna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,toNna
67,37,607882,option_1,둡어,1,C,nonce,tup,v,tupv,0,NA,NA,NA,NA,Vowel,p-v,C+Vowel,tupv
123,117,607882,option_2,둡다,1,C,nonce,tup,ta,tupta,1,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,tupda
25,126,607882,option_1,둡나,1,C,nonce,tup,na,tupna,NA,1,NA,NA,NA,Sonorant,p-n,C+Sonorant,tumna
87,20,607882,option_2,듥나,1,LC,nonce,txlk,na,txlkna,NA,0,0,0,0,NA,NA,NA,NA
30,144,607882,option_1,듥어,1,LC,nonce,txlk,v,txlkv,0,NA,0,0,NA,NA,NA,NA,NA
74,137,607882,option_3,듥다,1,LC,nonce,txlk,ta,txlkta,1,NA,0,1,NA,NA,NA,NA,NA
79,91,607882,option_1,떫어,5,LC,low,dvlp,v,dvlpv,0,NA,0,0,NA,NA,NA,NA,NA
152,54,607882,option_4,떫나,5,LC,low,dvlp,na,dvlpna,NA,0,0,1,0,NA,NA,NA,NA
119,48,607882,option_2,떫다,5,LC,low,dvlp,ta,dvlpta,1,NA,0,0,NA,NA,NA,NA,NA
83,61,607882,option_1,막아,5,C,high,mak,a,maka,0,NA,NA,NA,NA,Vowel,k-a,C+Vowel,maka
12,45,607882,option_2,막다,5,C,high,mak,ta,makta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,makda
166,25,607882,option_1,막나,5,C,high,mak,na,makna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,maNna
127,112,607882,option_4,맑나,5,LC,high,malk,na,malkna,NA,0,0,1,0,NA,NA,NA,NA
7,99,607882,option_1,맑아,5,LC,high,malk,a,malka,0,NA,0,0,NA,NA,NA,NA,NA
60,47,607882,option_2,맑다,5,LC,high,malk,ta,malkta,1,NA,0,0,NA,NA,NA,NA,NA
88,31,607882,option_2,멁다,2,LC,nonce,mvlk,ta,mvlkta,1,NA,0,0,NA,NA,NA,NA,NA
171,42,607882,option_1,멁어,2,LC,nonce,mvlk,v,mvlkv,0,NA,0,0,NA,NA,NA,NA,NA
170,134,607882,option_2,멁나,2,LC,nonce,mvlk,na,mvlkna,NA,0,0,0,0,NA,NA,NA,NA
26,121,607882,option_2,묵다,5,C,low,muk,ta,mukta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,mukda
121,147,607882,option_1,묵어,5,C,low,muk,v,mukv,0,NA,NA,NA,NA,Vowel,k-v,C+Vowel,mukv
46,72,607882,option_1,묵나,5,C,low,muk,na,mukna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,muNna
168,13,607882,option_1,묽어,5,LC,low,mulk,v,mulkv,0,NA,0,0,NA,NA,NA,NA,NA
110,35,607882,option_2,묽나,5,LC,low,mulk,na,mulkna,NA,0,0,0,0,NA,NA,NA,NA
95,158,607882,option_2,묽다,5,LC,low,mulk,ta,mulkta,1,NA,0,0,NA,NA,NA,NA,NA
150,19,607882,option_1,박아,5,C,high,pak,a,paka,0,NA,NA,NA,NA,Vowel,k-a,C+Vowel,paka
118,1,607882,option_2,박다,5,C,high,pak,ta,pakta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,pakda
139,176,607882,option_1,박나,5,C,high,pak,na,pakna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,paNna
89,33,607882,option_1,밝아,5,LC,high,palk,a,palka,0,NA,0,0,NA,NA,NA,NA,NA
36,95,607882,option_2,밝나,5,LC,high,palk,na,palkna,NA,0,0,0,0,NA,NA,NA,NA
159,46,607882,option_2,밝다,5,LC,high,palk,ta,palkta,1,NA,0,0,NA,NA,NA,NA,NA
55,130,607882,option_2,밟다,5,LC,high,palp,ta,palpta,1,NA,0,0,NA,NA,NA,NA,NA
112,178,607882,option_1,밟아,5,LC,high,palp,a,palpa,0,NA,0,0,NA,NA,NA,NA,NA
50,86,607882,option_6,밟나,5,LC,high,palp,na,palpna,NA,1,0,0,0,NA,NA,NA,NA
140,58,607882,option_1,뱉나,5,C,low,peT,na,peTna,NA,1,NA,NA,NA,Sonorant,T-n,C+Sonorant,penna
29,44,607882,option_1,뱉어,5,C,low,peT,v,peTv,0,NA,NA,NA,NA,Vowel,T-v,C+Vowel,peTv
35,39,607882,option_2,뱉다,5,C,low,peT,ta,peTta,1,NA,NA,NA,NA,Obstruent,T-t,C+Obstruent,petda
37,168,607882,option_1,법어,1,C,nonce,kvp,v,kvpv,0,NA,NA,NA,NA,Vowel,p-v,C+Vowel,pvpv
145,66,607882,option_2,법다,1,C,nonce,kvp,ta,kvpta,1,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,pvpda
72,97,607882,option_1,법나,1,C,nonce,kvp,na,kvpna,NA,1,NA,NA,NA,Sonorant,p-n,C+Sonorant,pvmna
163,10,607882,option_2,붉나,5,LC,high,pulk,na,pulkna,NA,0,0,0,0,NA,NA,NA,NA
70,105,607882,option_3,붉다,5,LC,high,pulk,ta,pulkta,1,NA,0,1,NA,NA,NA,NA,NA
51,136,607882,option_1,붉어,5,LC,high,pulk,v,pulkv,0,NA,0,0,NA,NA,NA,NA,NA
176,103,607882,option_3,붍다,1,LC,nonce,pulT,ta,pulTta,1,NA,0,1,NA,NA,NA,NA,NA
120,164,607882,option_1,붍어,1,LC,nonce,pulT,v,pulTv,0,NA,0,0,NA,NA,NA,NA,NA
162,68,607882,option_1,붍나,1,LC,nonce,pulT,na,pulTna,NA,1,1,0,0,NA,NA,NA,NA
135,67,607882,option_2,뽑다,5,C,high,p*op,ta,p*opta,1,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,bopda
15,127,607882,option_1,뽑아,5,C,high,p*op,a,p*opa,0,NA,NA,NA,NA,Vowel,p-a,C+Vowel,bopa
23,77,607882,option_1,뽑나,5,C,high,p*op,na,p*opna,NA,1,NA,NA,NA,Sonorant,p-n,C+Sonorant,bomna
146,118,607882,option_2,속다,5,C,low,sok,ta,sokta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,sokda
92,26,607882,option_1,속아,5,C,low,sok,a,soka,0,NA,NA,NA,NA,Vowel,k-a,C+Vowel,soka
126,12,607882,option_1,속나,5,C,low,sok,na,sokna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,soNna
63,51,607882,option_2,숡다,2,LC,nonce,sulk,ta,sulkta,1,NA,0,0,NA,NA,NA,NA,NA
154,81,607882,option_1,숡어,2,LC,nonce,sulk,v,sulkv,0,NA,0,0,NA,NA,NA,NA,NA
13,116,607882,option_4,숡나,2,LC,nonce,sulk,na,sulkna,NA,0,0,1,0,NA,NA,NA,NA
86,120,607882,option_1,식나,5,C,low,sik,na,sikna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,siNna
3,104,607882,option_1,식다,5,C,low,sik,ta,sikta,0,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,sikta
28,76,607882,option_1,식어,5,C,low,sik,v,sikv,0,NA,NA,NA,NA,Vowel,k-v,C+Vowel,sikv
45,3,607882,option_1,썩나,5,C,high,s*vk,na,s*vkna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,SvNna
22,24,607882,option_1,썩어,5,C,high,s*vk,v,s*vkv,0,NA,NA,NA,NA,Vowel,k-v,C+Vowel,Svkv
8,50,607882,option_2,썩다,5,C,high,s*vk,ta,s*vkta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,Svkda
16,140,607882,option_1,씹어,5,C,high,s*ip,v,s*ipv,0,NA,NA,NA,NA,Vowel,p-v,C+Vowel,Sipv
47,160,607882,option_1,씹나,5,C,high,s*ip,na,s*ipna,NA,1,NA,NA,NA,Sonorant,p-n,C+Sonorant,Simna
56,119,607882,option_2,씹다,5,C,high,s*ip,ta,s*ipta,1,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,Sipda
100,89,607882,option_2,앍나,1,LC,nonce,alk,na,alkna,NA,0,0,0,0,NA,NA,NA,NA
18,34,607882,option_1,앍아,1,LC,nonce,alk,a,alka,0,NA,0,0,NA,NA,NA,NA,NA
144,40,607882,option_4,앍다,1,LC,nonce,alk,ta,alkta,1,NA,1,0,NA,NA,NA,NA,NA
49,145,607882,option_2,얇다,5,LC,low,yalp,ta,yalpta,1,NA,0,0,NA,NA,NA,NA,NA
134,165,607882,option_6,얇나,5,LC,low,yalp,na,yalpna,NA,1,0,0,0,NA,NA,NA,NA
156,146,607882,option_1,얇아,5,LC,low,yalp,a,yalpa,0,NA,0,0,NA,NA,NA,NA,NA
157,157,607882,option_1,얕아,5,C,low,yaT,a,yaTa,0,NA,NA,NA,NA,Vowel,T-a,C+Vowel,yaTa
115,148,607882,option_2,얕다,5,C,low,yaT,ta,yaTta,1,NA,NA,NA,NA,Obstruent,T-t,C+Obstruent,yatda
178,70,607882,option_1,얕나,5,C,low,yaT,na,yaTna,NA,1,NA,NA,NA,Sonorant,T-n,C+Sonorant,yanna
158,65,607882,option_3,얽다,5,LC,low,vlk,ta,vlkta,1,NA,0,1,NA,NA,NA,NA,NA
24,155,607882,option_2,얽나,5,LC,low,vlk,na,vlkna,NA,0,0,0,0,NA,NA,NA,NA
109,132,607882,option_1,얽어,5,LC,low,vlk,v,vlkv,0,NA,0,0,NA,NA,NA,NA,NA
34,64,607882,option_1,업나,5,C,low,vp,na,vpna,NA,1,NA,NA,NA,Sonorant,p-n,C+Sonorant,vmna
130,151,607882,option_1,업어,5,C,low,vp,v,vpv,0,NA,NA,NA,NA,Vowel,p-v,C+Vowel,vpv
98,73,607882,option_2,업다,5,C,low,vp,ta,vpta,1,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,vpda
2,56,607882,option_1,엎나,5,C,low,vP,na,vPna,NA,1,NA,NA,NA,Sonorant,P-n,C+Sonorant,vmna
164,15,607882,option_2,엎다,5,C,low,vP,ta,vPta,1,NA,NA,NA,NA,Obstruent,P-t,C+Obstruent,vpda
105,128,607882,option_1,엎어,5,C,low,vP,v,vPv,0,NA,NA,NA,NA,Vowel,P-v,C+Vowel,vPv
106,28,607882,option_2,엷나,2,LC,low,yvlp,na,yvlpna,NA,0,0,0,0,NA,NA,NA,NA
53,85,607882,option_1,엷어,2,LC,low,yvlp,v,yvlpv,0,NA,0,0,NA,NA,NA,NA,NA
73,149,607882,option_3,엷다,2,LC,low,yvlp,ta,yvlpta,1,NA,0,1,NA,NA,NA,NA,NA
68,175,607882,option_1,옅어,5,C,low,yvT,v,yvTv,0,NA,NA,NA,NA,Vowel,T-v,C+Vowel,jvTv
148,90,607882,option_1,옅나,5,C,low,yvT,na,yvTna,NA,1,NA,NA,NA,Sonorant,T-n,C+Sonorant,jvnna
99,6,607882,option_2,옅다,5,C,low,yvT,ta,yvTta,1,NA,NA,NA,NA,Obstruent,T-t,C+Obstruent,jvtda
133,94,607882,option_1,웁어,2,C,nonce,up,v,upv,0,NA,NA,NA,NA,Vowel,p-v,C+Vowel,upv
58,55,607882,option_2,웁다,2,C,nonce,up,ta,upta,1,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,upda
10,88,607882,option_1,웁나,2,C,nonce,up,na,upna,NA,1,NA,NA,NA,Sonorant,p-n,C+Sonorant,umna
5,111,607882,option_1,읊어,5,LC,low,xlP,v,xlPv,0,NA,0,0,NA,NA,NA,NA,NA
66,177,607882,option_6,읊나,5,LC,low,xlP,na,xlPna,NA,1,0,0,0,NA,NA,NA,NA
172,108,607882,option_4,읊다,5,LC,low,xlP,ta,xlPta,1,NA,1,0,NA,NA,NA,NA,NA
81,53,607882,option_1,익나,5,C,low,ik,na,ikna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,iNna
59,87,607882,option_2,익다,5,C,low,ik,ta,ikta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,ikda
9,49,607882,option_1,익어,5,C,low,ik,v,ikv,0,NA,NA,NA,NA,Vowel,k-v,C+Vowel,ikv
103,102,607882,option_2,읽다,5,LC,high,ilk,ta,ilkta,1,NA,0,0,NA,NA,NA,NA,NA
17,75,607882,option_2,읽나,5,LC,high,ilk,na,ilkna,NA,0,0,0,0,NA,NA,NA,NA
14,125,607882,option_1,읽어,5,LC,high,ilk,v,ilkv,0,NA,0,0,NA,NA,NA,NA,NA
124,71,607882,option_1,입어,5,C,high,ip,v,ipv,0,NA,NA,NA,NA,Vowel,p-v,C+Vowel,ipv
117,63,607882,option_2,입다,5,C,high,ip,ta,ipta,1,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,ipda
52,171,607882,option_1,입나,5,C,high,ip,na,ipna,NA,1,NA,NA,NA,Sonorant,p-n,C+Sonorant,imna
102,18,607882,option_1,작나,5,C,high,cak,na,cakna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,caNna
111,59,607882,option_1,작아,5,C,high,cak,a,caka,0,NA,NA,NA,NA,Vowel,k-a,C+Vowel,caka
161,4,607882,option_2,작다,5,C,high,cak,ta,cakta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,cakda
6,180,607882,option_1,적나,5,C,high,cvk,na,cvkna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,cvNna
38,30,607882,option_1,적어,5,C,high,cvk,v,cvkv,0,NA,NA,NA,NA,Vowel,k-v,C+Vowel,cvkv
177,8,607882,option_2,적다,5,C,high,cvk,ta,cvkta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,cvkda
94,7,607882,option_1,접어,5,C,high,cvp,v,cvpv,0,NA,NA,NA,NA,Vowel,p-v,C+Vowel,cvpv
169,135,607882,option_1,접나,5,C,high,cvp,na,cvpna,NA,1,NA,NA,NA,Sonorant,p-n,C+Sonorant,cvmna
69,14,607882,option_2,접다,5,C,high,cvp,ta,cvpta,1,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,cvpda
91,142,607882,option_2,직다,3,C,nonce,cik,ta,cikta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,cikda
122,141,607882,option_1,직나,3,C,nonce,cik,na,cikna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,ciNna
129,161,607882,option_1,직어,3,C,nonce,cik,v,cikv,0,NA,NA,NA,NA,Vowel,k-v,C+Vowel,cikv
167,167,607882,option_2,짉나,1,LC,nonce,cilk,na,cilkna,NA,0,0,0,0,NA,NA,NA,NA
44,122,607882,option_3,짉다,1,LC,nonce,cilk,ta,cilkta,1,NA,0,1,NA,NA,NA,NA,NA
104,156,607882,option_1,짉어,1,LC,nonce,cilk,v,cilkv,0,NA,0,0,NA,NA,NA,NA,NA
1,32,607882,option_2,집다,5,C,high,cip,ta,cipta,1,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,cipda
153,169,607882,option_1,집어,5,C,high,cip,v,cipv,0,NA,NA,NA,NA,Vowel,p-v,C+Vowel,cipv
39,101,607882,option_1,집나,5,C,high,cip,na,cipna,NA,1,NA,NA,NA,Sonorant,p-n,C+Sonorant,cimna
4,106,607882,option_6,짧나,5,LC,high,Jalp,na,Jalpna,NA,1,0,0,0,NA,NA,NA,NA
137,78,607882,option_3,짧다,5,LC,high,Jalp,ta,Jalpta,1,NA,0,1,NA,NA,NA,NA,NA
64,80,607882,option_1,짧아,5,LC,high,Jalp,a,Jalpa,0,NA,0,0,NA,NA,NA,NA,NA
84,153,607882,option_1,찍어,5,C,low,Jik,v,Jikv,0,NA,NA,NA,NA,Vowel,k-v,C+Vowel,Jikv
65,2,607882,option_2,찍다,5,C,low,Jik,ta,Jikta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,Jikda
173,162,607882,option_1,찍나,5,C,low,Jik,na,Jikna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,JiNna
132,114,607882,option_1,착나,1,C,nonce,Cak,na,Cakna,NA,1,NA,NA,NA,Sonorant,k-n,C+Sonorant,CaNna
76,27,607882,option_1,착아,1,C,nonce,Cak,a,Caka,0,NA,NA,NA,NA,Vowel,k-a,C+Vowel,Caka
97,174,607882,option_2,착다,1,C,nonce,Cak,ta,Cakta,1,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,Cakda
42,96,607882,option_1,톱나,2,C,nonce,Top,na,Topna,NA,1,NA,NA,NA,Sonorant,p-n,C+Sonorant,Tomna
41,43,607882,option_1,톱아,2,C,nonce,Top,a,Topa,0,NA,NA,NA,NA,Vowel,p-a,C+Vowel,Topa
80,62,607882,option_2,톱다,2,C,nonce,Top,ta,Topta,1,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,Topda
142,150,607882,option_1,핥나,5,LC,low,halT,na,halTna,NA,1,1,0,0,NA,NA,NA,NA
40,23,607882,option_1,핥아,5,LC,low,halT,a,halTa,0,NA,0,0,NA,NA,NA,NA,NA
113,84,607882,option9_other,핥다,5,LC,low,halT,ta,halTta,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,21,607882,option9_other,훑다,5,LC,low,hulT,ta,hulTta,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,159,607882,option_1,훑어,5,LC,low,hulT,v,hulTv,0,NA,0,0,NA,NA,NA,NA,NA
20,143,607882,option_4,훑나,5,LC,low,hulT,na,hulTna,NA,0,0,1,0,NA,NA,NA,NA
171,57,608348,option_1,갉다,5,LC,low,kalk,ta,kalkta,0,NA,0,0,NA,NA,NA,NA,NA
157,144,608348,option_2,갉나,5,LC,low,kalk,na,kalkna,NA,0,0,0,0,NA,NA,NA,NA
67,58,608348,option_1,갉아,5,LC,low,kalk,a,kalka,0,NA,0,0,NA,NA,NA,NA,NA
82,32,608348,option_1,겊다,3,C,nonce,kvP,ta,kvPta,0,NA,NA,NA,NA,Obstruent,P-t,C+Obstruent,kvpta
97,14,608348,option_2,겊나,3,C,nonce,kvP,na,kvPna,NA,0,NA,NA,NA,Sonorant,P-n,C+Sonorant,kvPna
59,62,608348,option_1,겊어,3,C,nonce,kvP,v,kvPv,0,NA,NA,NA,NA,Vowel,P-v,C+Vowel,kvPv
167,95,608348,option_1,겳어,1,LC,nonce,kjvlp,v,kjvlpv,0,NA,0,0,NA,NA,NA,NA,NA
109,77,608348,option_2,겳나,1,LC,nonce,kjvlp,na,kjvlpna,NA,0,0,0,0,NA,NA,NA,NA
136,81,608348,option_1,겳다,1,LC,nonce,kjvlp,ta,kjvlpta,0,NA,0,0,NA,NA,NA,NA,NA
4,152,608348,option_1,굵어,5,LC,high,kulk,v,kulkv,0,NA,0,0,NA,NA,NA,NA,NA
62,136,608348,option_1,굵다,5,LC,high,kulk,ta,kulkta,0,NA,0,0,NA,NA,NA,NA,NA
128,42,608348,option_2,굵나,5,LC,high,kulk,na,kulkna,NA,0,0,0,0,NA,NA,NA,NA
37,130,608348,option_1,긁어,5,LC,low,kxlk,v,kxlkv,0,NA,0,0,NA,NA,NA,NA,NA
7,127,608348,option_2,긁나,5,LC,low,kxlk,na,kxlkna,NA,0,0,0,0,NA,NA,NA,NA
47,38,608348,option_6,긁다,5,LC,low,kxlk,ta,kxlkta,0,NA,1,0,NA,NA,NA,NA,NA
21,157,608348,option_1,긆어,3,LC,nonce,kxlP,v,kxlPv,0,NA,0,0,NA,NA,NA,NA,NA
12,141,608348,option_2,긆나,3,LC,nonce,kxlP,na,kxlPna,NA,0,0,0,0,NA,NA,NA,NA
68,142,608348,option_1,긆다,3,LC,nonce,kxlP,ta,kxlPta,0,NA,0,0,NA,NA,NA,NA,NA
123,39,608348,option_2,낡나,5,LC,high,nalk,na,nalkna,NA,0,0,0,0,NA,NA,NA,NA
23,72,608348,option_4,낡다,5,LC,high,nalk,ta,nalkta,1,NA,1,0,NA,NA,NA,NA,NA
137,98,608348,option_1,낡아,5,LC,high,nalk,a,nalka,0,NA,0,0,NA,NA,NA,NA,NA
38,171,608348,option_1,낣아,3,LC,nonce,nalp,a,nalpa,0,NA,0,0,NA,NA,NA,NA,NA
88,91,608348,option_2,낣나,3,LC,nonce,nalp,na,nalpna,NA,0,0,0,0,NA,NA,NA,NA
138,135,608348,option_1,낣다,3,LC,nonce,nalp,ta,nalpta,0,NA,0,0,NA,NA,NA,NA,NA
75,1,608348,option_1,냍어,1,C,nonce,neT,v,neTv,0,NA,NA,NA,NA,Vowel,T-v,C+Vowel,neTv
34,86,608348,option_1,냍다,1,C,nonce,neT,ta,neTta,0,NA,NA,NA,NA,Obstruent,T-t,C+Obstruent,netta
134,31,608348,option_2,냍나,1,C,nonce,neT,na,neTna,NA,0,NA,NA,NA,Sonorant,T-n,C+Sonorant,neTna
66,116,608348,option_1,넓어,5,LC,high,nvlp,v,nvlpv,0,NA,0,0,NA,NA,NA,NA,NA
56,133,608348,option_2,넓나,5,LC,high,nvlp,na,nvlpna,NA,0,0,0,0,NA,NA,NA,NA
165,176,608348,option_1,넓다,5,LC,high,nvlp,ta,nvlpta,0,NA,0,0,NA,NA,NA,NA,NA
112,29,608348,option_1,눅다,4,C,nonce,nuk,ta,nukta,0,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,nukta
40,149,608348,option_2,눅나,4,C,nonce,nuk,na,nukna,NA,0,NA,NA,NA,Sonorant,k-n,C+Sonorant,nukna
50,34,608348,option_1,눅어,4,C,nonce,nuk,v,nukv,0,NA,NA,NA,NA,Vowel,k-v,C+Vowel,nukv
131,114,608348,option_1,늙다,5,LC,high,nxlk,ta,nxlkta,0,NA,0,0,NA,NA,NA,NA,NA
80,161,608348,option_3,늙나,5,LC,high,nxlk,na,nxlkna,NA,0,1,0,0,NA,NA,NA,NA
155,9,608348,option_1,늙어,5,LC,high,nxlk,v,nxlkv,0,NA,0,0,NA,NA,NA,NA,NA
105,174,608348,option_2,덟나,2,LC,nonce,tvlp,na,tvlpna,NA,0,0,0,0,NA,NA,NA,NA
160,27,608348,option_1,덟다,2,LC,nonce,tvlp,ta,tvlpta,0,NA,0,0,NA,NA,NA,NA,NA
13,128,608348,option_1,덟어,2,LC,nonce,tvlp,v,tvlpv,0,NA,0,0,NA,NA,NA,NA,NA
8,175,608348,option_2,독나,3,C,nonce,tok,na,tokna,NA,0,NA,NA,NA,Sonorant,k-n,C+Sonorant,tokna
3,35,608348,option_1,독아,3,C,nonce,tok,a,toka,0,NA,NA,NA,NA,Vowel,k-a,C+Vowel,toka
101,115,608348,option_1,독다,3,C,nonce,tok,ta,tokta,0,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,tokta
115,75,608348,option_1,둡다,2,C,nonce,tup,ta,tupta,0,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,tupta
122,45,608348,option_1,둡어,2,C,nonce,tup,v,tupv,0,NA,NA,NA,NA,Vowel,p-v,C+Vowel,tupv
70,60,608348,option_2,둡나,2,C,nonce,tup,na,tupna,NA,0,NA,NA,NA,Sonorant,p-n,C+Sonorant,tupna
133,158,608348,option_2,듥나,1,LC,nonce,txlk,na,txlkna,NA,0,0,0,0,NA,NA,NA,NA
103,36,608348,option_1,듥다,1,LC,nonce,txlk,ta,txlkta,0,NA,0,0,NA,NA,NA,NA,NA
83,90,608348,option_1,듥어,1,LC,nonce,txlk,v,txlkv,0,NA,0,0,NA,NA,NA,NA,NA
176,48,608348,option_1,떫어,5,LC,low,dvlp,v,dvlpv,0,NA,0,0,NA,NA,NA,NA,NA
22,16,608348,option_1,떫다,5,LC,low,dvlp,ta,dvlpta,0,NA,0,0,NA,NA,NA,NA,NA
169,92,608348,option_2,떫나,5,LC,low,dvlp,na,dvlpna,NA,0,0,0,0,NA,NA,NA,NA
24,129,608348,option_1,막아,5,C,high,mak,a,maka,0,NA,NA,NA,NA,Vowel,k-a,C+Vowel,maka
31,47,608348,option_1,막다,5,C,high,mak,ta,makta,0,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,makta
107,70,608348,option_2,막나,5,C,high,mak,na,makna,NA,0,NA,NA,NA,Sonorant,k-n,C+Sonorant,makna
117,131,608348,option_1,맑아,5,LC,high,malk,a,malka,0,NA,0,0,NA,NA,NA,NA,NA
166,88,608348,option_2,맑나,5,LC,high,malk,na,malkna,NA,0,0,0,0,NA,NA,NA,NA
156,67,608348,option_1,맑다,5,LC,high,malk,ta,malkta,0,NA,0,0,NA,NA,NA,NA,NA
2,153,608348,option_3,멁나,3,LC,nonce,mvlk,na,mvlkna,NA,0,1,0,0,NA,NA,NA,NA
27,143,608348,option_6,멁다,3,LC,nonce,mvlk,ta,mvlkta,0,NA,1,0,NA,NA,NA,NA,NA
102,49,608348,option_1,멁어,3,LC,nonce,mvlk,v,mvlkv,0,NA,0,0,NA,NA,NA,NA,NA
104,12,608348,option_2,묵나,3,C,low,muk,na,mukna,NA,0,NA,NA,NA,Sonorant,k-n,C+Sonorant,mukna
32,180,608348,option_1,묵다,3,C,low,muk,ta,mukta,0,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,mukta
150,68,608348,option_1,묵어,3,C,low,muk,v,mukv,0,NA,NA,NA,NA,Vowel,k-v,C+Vowel,mukv
92,148,608348,option_1,묽어,5,LC,low,mulk,v,mulkv,0,NA,0,0,NA,NA,NA,NA,NA
174,132,608348,option_2,묽나,5,LC,low,mulk,na,mulkna,NA,0,0,0,0,NA,NA,NA,NA
106,20,608348,option_1,묽다,5,LC,low,mulk,ta,mulkta,0,NA,0,0,NA,NA,NA,NA,NA
39,84,608348,option_1,박아,5,C,high,pak,a,paka,0,NA,NA,NA,NA,Vowel,k-a,C+Vowel,paka
180,69,608348,option_1,박다,5,C,high,pak,ta,pakta,0,NA,NA,NA,NA,Obstruent,k-t,C+Obstruent,pakta
78,54,608348,option_2,박나,5,C,high,pak,na,pakna,NA,0,NA,NA,NA,Sonorant,k-n,C+Sonorant,pakna
164,76,608348,option_1,밝아,5,LC,high,palk,a,palka,0,NA,0,0,NA,NA,NA,NA,NA
58,6,608348,option_2,밝나,5,LC,high,palk,na,palkna,NA,0,0,0,0,NA,NA,NA,NA
69,146,608348,option_1,밝다,5,LC,high,palk,ta,palkta,0,NA,0,0,NA,NA,NA,NA,NA
121,83,608348,option_2,밟나,5,LC,high,palp,na,palpna,NA,0,0,0,0,NA,NA,NA,NA
30,97,608348,option_3,밟다,5,LC,high,palp,ta,palpta,1,NA,0,1,NA,NA,NA,NA,NA
28,106,608348,option_1,밟아,5,LC,high,palp,a,palpa,0,NA,0,0,NA,NA,NA,NA,NA
141,79,608348,option_1,뱉다,5,C,low,peT,ta,peTta,0,NA,NA,NA,NA,Obstruent,T-t,C+Obstruent,petta
124,52,608348,option_2,뱉나,5,C,low,peT,na,peTna,NA,0,NA,NA,NA,Sonorant,T-n,C+Sonorant,peTna
99,173,608348,option_1,뱉어,5,C,low,peT,v,peTv,0,NA,NA,NA,NA,Vowel,T-v,C+Vowel,peTv
130,25,608348,option_1,법어,2,C,nonce,kvp,v,kvpv,0,NA,NA,NA,NA,Vowel,p-v,C+Vowel,pvpv
118,19,608348,option_1,법다,2,C,nonce,kvp,ta,kvpta,0,NA,NA,NA,NA,Obstruent,p-t,C+Obstruent,pvpta
154,96,608348,option_2,법나,2,C,nonce,kvp,na,kvpna,NA,0,NA,NA,NA,Sonorant,p-n,C+Sonorant,pvpna
161,111,608348,option_2,붉나,5,LC,high,pulk,na,pulkna,NA,0,0,0,0,NA,NA,NA,NA
