Morphology_R,,,Production_R,JunctureType,UR,SR,,,Nasalization,Lateralization,C_deletion,L_deletion,Tensification,Notes
ilkv,,,ilkv,lC+Vowel,lk- v,lkv,,,NA,NA,0,0,NA,
ilkv,,,ilkv,lC+Vowel,lk- v,lkv,,,NA,NA,0,0,NA,
ilkv,,,ilkv,lC+Vowel,lk- v,lkv,,,NA,NA,0,0,NA,
ilkxl,,,ilkxl,lC+Vowel,lk-x,lkx,,,NA,NA,0,0,NA,
ilkxl,,,ilkxl,lC+Vowel,lk-x,lkx,,,NA,NA,0,0,NA,
ilkxl,,,ilkxl,lC+Vowel,lk-x,lkx,,,NA,NA,0,0,NA,
cvlmxn,,,cvlmxn,lC+Vowel,lm-x,lmx,,,NA,NA,0,0,NA,
cvlmxl,,,cvlmxl,lC+Vowel,lm-x,lmx,,,NA,NA,0,0,NA,
Jalpa,,,Jalpa,lC+Vowel,lp-a,lpa,,,NA,NA,0,0,NA,
Jalpa,,,Jalpa,lC+Vowel,lp-a,lpa,,,NA,NA,0,0,NA,
nxlkvSneyo,,,nxlkvnneyo,lC+Vowel,lk-v,lkv,,,NA,NA,0,0,NA,
talmaSne,,,talmanne,lC+Vowel,lm-a,lma,,,NA,NA,0,0,NA,
talmaStako,,,talmatdako,lC+Vowel,lm-a,lma,,,NA,NA,0,0,NA,
talmxn,,,talmxn,lC+Vowel,lm-x,lmx,,,NA,NA,0,0,NA,
kxlkvSta,,,kxlkvtda,lC+Vowel,lk-v,lkx,,,NA,NA,0,0,NA,
palpxmyvn,,,palpxmyvn,lC+Vowel,lp-x,lpx,,,NA,NA,0,0,NA,
kxlkxseyo,,,kxlkxseyo,lC+Vowel,lk-x,lkx,,,NA,NA,0,0,NA,
nvlpv,,,nvlpv,lC+Vowel,lp-v,lpv,,,NA,NA,0,0,NA,
nvlpv,,,nvlpv,lC+Vowel,lp-v,lpv,,,NA,NA,0,0,NA,
nvlpxn,,,nvlpxn,lC+Vowel,lp-v,lpv,,,NA,NA,0,0,NA,
ilkvSko,,,ilkvkgo,lC+Vowel,lk-v,lkv,,,NA,NA,1,0,NA,
